name, song_url, start_time
Nik, https://youtu.be/QjGtNPEWruM, 10
Taylor, https://youtu.be/iZZUY32iCzU, 0
Jimmy, https://youtu.be/RqcjBLMaWCg, 45
Phil, https://youtu.be/3JcmQONgXJM, 17
Funk, https://youtu.be/gjKFCYzqq-A, 20
Ben, https://youtu.be/DNyKDI9pn0Q, 165
TK, https://youtu.be/E8b4xYbEugo, 0
Ryan, https://youtu.be/y6Sxv-sUYtM, 35
Arthur, https://youtu.be/phaJXp_zMYM, 74
Emilee, https://youtu.be/pAgnJDJN4VA, 15
Doug, https://youtu.be/ngFWbCJJVcI, 56
Jason, https://youtu.be/Arf0AR6731g, 5
Megan, https://youtu.be/cMTAUr3Nm6I, 31
Aaron, https://youtu.be/splv6HpkIIM, 97
JZ, https://youtu.be/Cgoqrgc_0cM, 0
Kai, https://youtu.be/Rmp6zIr5y4U, 26
Ehsan, https://youtu.be/i5u5ktF3tjw, 12
The Real ADV, https://youtu.be/jIXbQLwAor4, 0
Team R&D, https://youtu.be/IoBP24I2lwA, 0
